Configuration_ID,num_leaves,max_depth,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_lambda
LGBM_01,15,5,0.03,300,20,1.0,1.0,0.0
LGBM_02,15,5,0.05,200,30,0.9,0.9,0.0
LGBM_03,15,6,0.07,150,40,0.8,1.0,1.0
LGBM_04,23,5,0.03,400,20,0.9,0.8,1.0
LGBM_05,23,6,0.05,250,30,1.0,0.9,0.0
LGBM_06,23,7,0.07,175,40,0.8,0.8,2.0
LGBM_07,31,5,0.03,400,20,0.8,1.0,0.0
LGBM_08,31,6,0.05,250,30,0.9,0.9,1.0
LGBM_09,31,7,0.07,175,50,1.0,0.8,2.0
LGBM_10,31,-1,0.05,200,20,1.0,1.0,0.0
LGBM_11,47,6,0.03,400,30,0.8,0.9,1.0
LGBM_12,47,7,0.05,250,40,0.9,0.8,2.0
LGBM_13,47,8,0.07,175,50,1.0,0.9,3.0
LGBM_14,63,6,0.03,400,40,0.9,1.0,2.0
LGBM_15,63,7,0.05,250,50,0.8,0.9,3.0
LGBM_16,63,8,0.07,175,60,1.0,0.8,4.0
LGBM_17,31,8,0.02,500,60,0.8,0.8,4.0
LGBM_18,47,-1,0.02,500,80,0.9,0.9,5.0
LGBM_19,63,-1,0.03,350,80,0.8,1.0,5.0
LGBM_20,95,-1,0.03,300,100,0.9,0.8,6.0
