Model,Bin,Count,Minimum_Probability,Maximum_Probability,Mean_Predicted_Probability,Observed_Frequency
Baseline,0,1382,0.0078679635403115,0.074576819516695,0.04374263890273117,0.045586107091172216
Baseline,1,1381,0.074640275197766,0.1669443733745443,0.11620231165234393,0.11296162201303403
Baseline,2,1381,0.1671082490621461,0.3038192633684773,0.23210582225633353,0.24547429398986242
Baseline,3,1381,0.3038395665294257,0.4403313233849558,0.37250990886204105,0.39681390296886315
Baseline,4,1381,0.4405020228806299,0.5601627417002679,0.5021076258704714,0.501810282404055
Baseline,5,1381,0.5601759952044355,0.6551886638741726,0.6110393026032657,0.6133236784938451
Baseline,6,1381,0.6553212910137733,0.7286636358158846,0.6937434167728933,0.7038377986965967
Baseline,7,1381,0.7286717088802269,0.7940270820652783,0.7617252765712386,0.7900072411296162
Baseline,8,1381,0.7940567249017828,0.8522689211013244,0.8233332021086361,0.8233164373642288
Baseline,9,1382,0.8524263047892665,0.9604555571922552,0.8867302477058879,0.8994211287988423
M1-Interactions,0,1382,0.0082404719103698,0.0719872714795055,0.042628318271046794,0.04341534008683068
M1-Interactions,1,1381,0.0720182601862963,0.1654943670731795,0.11413936180662662,0.11223750905141203
M1-Interactions,2,1381,0.1655451613742915,0.3095987722817407,0.2351120806034468,0.24692251991310643
M1-Interactions,3,1381,0.3098831898861823,0.4429154526121979,0.3772450102200979,0.388848660391021
M1-Interactions,4,1381,0.4429870905821067,0.5585447697406064,0.5028980621371811,0.5162925416364953
M1-Interactions,5,1381,0.5586375014422545,0.6565344873754507,0.6086437364207796,0.611151339608979
M1-Interactions,6,1381,0.6565646788170881,0.7284119071749389,0.6946861616248992,0.7009413468501087
M1-Interactions,7,1381,0.728423856533498,0.7911579181656458,0.7599602339445738,0.7834902244750181
M1-Interactions,8,1381,0.791166990216108,0.8518182932170588,0.8222951207764257,0.8291093410572049
M1-Interactions,9,1382,0.8518476932819116,0.9604480152301966,0.8887567973498676,0.9001447178002895
M2-Mild,0,1382,0.0081464872277592,0.0815324812795324,0.047641184543213144,0.04630969609261939
M2-Mild,1,1381,0.0816286241696201,0.181075532678453,0.128023909752119,0.11368573497465605
M2-Mild,2,1381,0.1811474610753914,0.327586799909987,0.2518554000553336,0.2519913106444605
M2-Mild,3,1381,0.3276472722040002,0.4578137825441842,0.39299620053717915,0.3765387400434468
M2-Mild,4,1381,0.4578615468875148,0.5709293033138637,0.5173785013592617,0.5278783490224475
M2-Mild,5,1381,0.571091482140559,0.6619211406077105,0.6181507240183164,0.6097031136857349
M2-Mild,6,1381,0.6619409977841618,0.7314589547158183,0.6974622141038169,0.6973207820419985
M2-Mild,7,1381,0.7314623237206302,0.792684286100922,0.7633148017792594,0.7900072411296162
M2-Mild,8,1381,0.7926852972538894,0.8527788152201198,0.8230218496173923,0.8196958725561188
