Strategy,Hypothetical_Decision_Threshold,Net_Benefit,TP,FP
Treat none,0.05,0.0,,
Treat all,0.05,0.48763089304494944,,
Baseline,0.05,0.4889341076409529,7065.0,5925.0
M1-Interactions,0.05,0.48877025317420403,7060.0,5873.0
M2-Mild,0.05,0.48885789626106974,7068.0,6002.0
M2-Balanced,0.05,0.48886932796805216,7071.0,6056.0
M2-High,0.05,0.48902556129681285,7076.0,6110.0
M3-Mild,0.05,0.48904080357278956,7069.0,5973.0
M3-Balanced,0.05,0.48910558324569026,7073.0,6032.0
M3-High,0.05,0.48899507674485954,7077.0,6137.0
Treat none,0.06,0.0,,
Treat all,0.06,0.4821801578645766,,
Baseline,0.06,0.4839532075099667,7048.0,5697.0
M1-Interactions,0.06,0.4836250931967884,7042.0,5674.0
M2-Mild,0.06,0.4841241966590877,7057.0,5801.0
M2-Balanced,0.06,0.48389004935578683,7059.0,5883.0
M2-High,0.06,0.48407490248997165,7065.0,5937.0
M3-Mild,0.06,0.48403485097756505,7055.0,5789.0
M3-Balanced,0.06,0.48389313024135655,7057.0,5851.0
M3-High,0.06,0.4840209869925012,7064.0,5933.0
Treat none,0.07,0.0,,
Treat all,0.07,0.4766122025727978,,
Baseline,0.07,0.4793587623665255,7033.0,5475.0
M1-Interactions,0.07,0.4795331471153337,7033.0,5443.0
M2-Mild,0.07,0.47955338820224896,7046.0,5612.0
M2-Balanced,0.07,0.47912443286031464,7047.0,5704.0
M2-High,0.07,0.47937666794341216,7055.0,5764.0
M3-Mild,0.07,0.4792949250924084,7041.0,5593.0
M3-Balanced,0.07,0.4792427653684345,7046.0,5669.0
M3-High,0.07,0.4790761656530553,7051.0,5766.0
Treat none,0.08,0.0,,
Treat all,0.08,0.4709232047746761,,
Baseline,0.08,0.4747132298316524,7017.0,5293.0
M1-Interactions,0.08,0.47521373978518994,7020.0,5248.0
M2-Mild,0.08,0.47445510520152606,7025.0,5426.0
M2-Balanced,0.08,0.47451176670570017,7035.0,5532.0
M2-High,0.08,0.4747132298316524,7043.0,5592.0
M3-Mild,0.08,0.47516966972638797,7032.0,5393.0
M3-Balanced,0.08,0.47493043226431964,7036.0,5477.0
M3-High,0.08,0.474445661617497,7038.0,5577.0
Treat none,0.09,0.0,,
Treat all,0.09,0.46510917405791424,,
Baseline,0.09,0.4703188499887023,7004.0,5136.0
M1-Interactions,0.09,0.4705758330866932,7003.0,5090.0
M2-Mild,0.09,0.47017723082015,7015.0,5267.0
M2-Balanced,0.09,0.46996718890724104,7021.0,5357.0
M2-High,0.09,0.47031328069555695,7033.0,5430.0
M3-Mild,0.09,0.4704724033568517,7017.0,5246.0
M3-Balanced,0.09,0.4703403315479771,7022.0,5315.0
M3-High,0.09,0.4702607702173297,7030.0,5407.0
Treat none,0.1,0.0,,
Treat all,0.1,0.45916594265855776,,
Baseline,0.1,0.4658348617948965,6988.0,4985.0
M1-Interactions,0.1,0.4660440196930205,6987.0,4950.0
M2-Mild,0.1,0.4658750844676127,7004.0,5124.0
M2-Balanced,0.1,0.46605206422756384,7014.0,5192.0
M2-High,0.1,0.46562570389677255,7017.0,5272.0
M3-Mild,0.1,0.4662531775911446,7004.0,5077.0
M3-Balanced,0.1,0.46600379702030437,7011.0,5171.0
M3-High,0.1,0.46606010876210696,7019.0,5236.0
Treat none,0.11,0.0,,
Treat all,0.11,0.45308915549741796,,
Baseline,0.11,0.4616129273681573,6974.0,4840.0
M1-Interactions,0.11,0.46094016927146886,6961.0,4810.0
M2-Mild,0.11,0.4614014193812903,6989.0,4985.0
M2-Balanced,0.11,0.4612208241001962,6998.0,5078.0
M2-High,0.11,0.46142663764126296,7009.0,5144.0
M3-Mild,0.11,0.46154296703403974,6987.0,4953.0
M3-Balanced,0.11,0.4614681257463792,6994.0,5018.0
M3-High,0.11,0.46129647888011405,7003.0,5110.0
Treat none,0.12,0.0,,
Treat all,0.12,0.4468742595371613,,
Baseline,0.12,0.45733946765658323,6957.0,4695.0
M1-Interactions,0.12,0.4573954137377248,6953.0,4660.0
M2-Mild,0.12,0.457135429007714,6976.0,4855.0
M2-Balanced,0.12,0.45692809941289525,6985.0,4942.0
M2-High,0.12,0.4566648237369349,6992.0,5020.0
M3-Mild,0.12,0.45682608008846065,6966.0,4813.0
M3-Balanced,0.12,0.45678329779111715,6977.0,4898.0
M3-High,0.12,0.45686886238580415,6988.0,4970.0
Treat none,0.13,0.0,,
Treat all,0.13,0.4405164924054046,,
Baseline,0.13,0.4534878882597508,6946.0,4567.0
M1-Interactions,0.13,0.45341465525563307,6942.0,4547.0
M2-Mild,0.13,0.45283544876852044,6960.0,4721.0
M2-Balanced,0.13,0.4528720652705793,6975.0,4818.0
M2-High,0.13,0.4523802390724707,6983.0,4917.0
M3-Mild,0.13,0.45262823265459656,6954.0,4700.0
M3-Balanced,0.13,0.45248343103281835,6965.0,4787.0
M3-High,0.13,0.45227288614597994,6973.0,4860.0
Treat none,0.14,0.0,,
Treat all,0.14,0.43401087022407203,,
Baseline,0.14,0.4492739714033634,6928.0,4439.0
M1-Interactions,0.14,0.4492941762808209,6926.0,4425.0
M2-Mild,0.14,0.4484523063867618,6944.0,4607.0
M2-Balanced,0.14,0.44865603890112404,6960.0,4688.0
M2-High,0.14,0.44839842671354196,6975.0,4802.0
M3-Mild,0.14,0.4487957893035379,6945.0,4584.0
M3-Balanced,0.14,0.4481778568012985,6949.0,4661.0
M3-High,0.14,0.4479219283535046,6958.0,4738.0
Treat none,0.15,0.0,,
Treat all,0.15,0.42735217457964936,,
Baseline,0.15,0.44501371356535663,6911.0,4332.0
M1-Interactions,0.15,0.4446644861245975,6906.0,4331.0
M2-Mild,0.15,0.44416619819083153,6930.0,4506.0
M2-Balanced,0.15,0.44410231512239995,6942.0,4579.0
M2-High,0.15,0.4440426909251971,6959.0,4680.0
M3-Mild,0.15,0.4448902062997223,6934.0,4472.0
M3-Balanced,0.15,0.4439021481746478,6935.0,4555.0
M3-High,0.15,0.44410231512239995,6948.0,4613.0
Treat none,0.16,0.0,,
Treat all,0.16,0.42053493856274043,,
Baseline,0.16,0.44015900597134305,6885.0,4229.0
M1-Interactions,0.16,0.44023140678223216,6886.0,4229.0
M2-Mild,0.16,0.440203825520941,6918.0,4399.0
M2-Balanced,0.16,0.44005557624150154,6931.0,4478.0
M2-High,0.16,0.43964185732213534,6943.0,4571.0
M3-Mild,0.16,0.4404520568725607,6918.0,4381.0
M3-Balanced,0.16,0.44014521534069756,6925.0,4440.0
M3-High,0.16,0.43991077461972333,6937.0,4520.0
Treat none,0.17,0.0,,
Treat all,0.17,0.4135534317984361,,
Baseline,0.17,0.4354760484160796,6865.0,4151.0
M1-Interactions,0.17,0.4357857145349425,6866.0,4135.0
M2-Mild,0.17,0.4356627203863237,6894.0,4280.0
M2-Balanced,0.17,0.4360971252516583,6917.0,4363.0
M2-High,0.17,0.4350207083765122,6922.0,4460.0
M3-Mild,0.17,0.4364870428717476,6906.0,4283.0
M3-Balanced,0.17,0.4356662095820292,6909.0,4353.0
M3-High,0.17,0.43535392656638716,6918.0,4418.0
Treat none,0.18,0.0,,
Treat all,0.18,0.4064016443813439,,
Baseline,0.18,0.431113277249193,6844.0,4052.0
M1-Interactions,0.18,0.43206155128449636,6856.0,4047.0
M2-Mild,0.18,0.4307706978025471,6870.0,4192.0
M2-Balanced,0.18,0.4313675630240229,6898.0,4282.0
M2-High,0.18,0.4308201422587641,6908.0,4362.0
M3-Mild,0.18,0.4319043885486639,6885.0,4189.0
M3-Balanced,0.18,0.4310267494508134,6890.0,4267.0
M3-High,0.18,0.4312722058584617,6907.0,4329.0
Treat none,0.19,0.0,,
Treat all,0.19,0.39907326962061973,,
Baseline,0.19,0.427032496344206,6828.0,3964.0
M1-Interactions,0.19,0.42725327412555913,6828.0,3951.0
M2-Mild,0.19,0.4261118440575917,6850.0,4112.0
M2-Balanced,0.19,0.4263674814886322,6873.0,4195.0
M2-High,0.19,0.4266016668275574,6895.0,4275.0
M3-Mild,0.19,0.4270271333211772,6861.0,4105.0
M3-Balanced,0.19,0.4266517217091597,6872.0,4174.0
M3-High,0.19,0.4269154036747434,6893.0,4248.0
Treat none,0.2,0.0,,
Treat all,0.2,0.39156168549087744,,
Baseline,0.2,0.4227845351867941,6810.0,3882.0
M1-Interactions,0.2,0.42320083984940626,6813.0,3871.0
M2-Mild,0.2,0.42169852302345784,6832.0,4030.0
M2-Balanced,0.2,0.42189762525340285,6856.0,4115.0
M2-High,0.2,0.4217347234289024,6870.0,4180.0
M3-Mild,0.2,0.42263973356501594,6842.0,4018.0
M3-Balanced,0.2,0.42225962930784827,6854.0,4087.0
M3-High,0.2,0.42229582971329277,6876.0,4173.0
Treat none,0.21,0.0,,
Treat all,0.21,0.38385993467430635,,
Baseline,0.21,0.4181870836953374,6784.0,3792.0
M1-Interactions,0.21,0.4177682587513335,6783.0,3810.0
M2-Mild,0.21,0.416835296403421,6806.0,3945.0
M2-Balanced,0.21,0.41703966831263956,6837.0,4051.0
M2-High,0.21,0.41701400726574217,6851.0,4105.0
M3-Mild,0.21,0.41821091181031356,6825.0,3945.0
M3-Balanced,0.21,0.4176408699828071,6836.0,4016.0
M3-High,0.21,0.41775176236404227,6858.0,4093.0
Treat none,0.22,0.0,,
Treat all,0.22,0.3759607030675666,,
Baseline,0.22,0.4129760817423719,6751.0,3712.0
M1-Interactions,0.22,0.4130763290189876,6760.0,3739.0
M2-Mild,0.22,0.41269761708510627,6792.0,3871.0
M2-Balanced,0.22,0.41280343365486716,6818.0,3958.0
M2-High,0.22,0.41286283944841723,6838.0,4026.0
M3-Mild,0.22,0.4140286781468363,6807.0,3859.0
M3-Balanced,0.22,0.41366481766134244,6822.0,3930.0
M3-High,0.22,0.41287026517261094,6835.0,4015.0
Treat none,0.23,0.0,,
Treat all,0.23,0.3678562966138987,,
Baseline,0.23,0.40873172584727757,6727.0,3621.0
M1-Interactions,0.23,0.4088652442258003,6739.0,3655.0
M2-Mild,0.23,0.40874677017161815,6775.0,3781.0
M2-Balanced,0.23,0.4084007507117846,6798.0,3874.0
M2-High,0.23,0.408002076116759,6814.0,3946.0
M3-Mild,0.23,0.40905988017195666,6785.0,3800.0
M3-Balanced,0.23,0.4089639726042854,6801.0,3858.0
M3-High,0.23,0.40834903584686383,6817.0,3940.0
Treat none,0.24,0.0,,
Treat all,0.24,0.35953861630618683,,
Baseline,0.24,0.4037755117594159,6698.0,3550.0
M1-Interactions,0.24,0.404129894675873,6713.0,3582.0
M2-Mild,0.24,0.40409178898593134,6751.0,3704.0
M2-Balanced,0.24,0.4041032206929139,6778.0,3789.0
M2-High,0.24,0.4034782873778713,6794.0,3867.0
M3-Mild,0.24,0.40489962961269377,6765.0,3713.0
M3-Balanced,0.24,0.404389013367476,6781.0,3786.0
M3-High,0.24,0.40425564345268034,6806.0,3871.0
Treat none,0.25,0.0,,
Treat all,0.25,0.3509991311902693,,
Baseline,0.25,0.39950767448595426,6674.0,3468.0
M1-Interactions,0.25,0.4000386137658075,6697.0,3515.0
M2-Mild,0.25,0.3995559416932136,6729.0,3631.0
M2-Balanced,0.25,0.39989381214402936,6761.0,3713.0
M2-High,0.25,0.39914567043150884,6779.0,3798.0
M3-Mild,0.25,0.3992663384496573,6730.0,3646.0
M3-Balanced,0.25,0.39991794574765904,6762.0,3715.0
M3-High,0.25,0.39999034655854815,6787.0,3787.0
Treat none,0.26,0.0,,
Treat all,0.26,0.34222884917932694,,
Baseline,0.26,0.3950246945468492,6657.0,3418.0
M1-Interactions,0.26,0.3949738183013596,6670.0,3457.0
M2-Mild,0.26,0.39410892212803594,6696.0,3565.0
M2-Balanced,0.26,0.3947683565407284,6729.0,3633.0
M2-High,0.26,0.39477814043409176,6759.0,3718.0
M3-Mild,0.26,0.39491902849852456,6710.0,3573.0
M3-Balanced,0.26,0.3945707218947879,6734.0,3655.0
M3-High,0.26,0.3949112013838339,6764.0,3727.0
Treat none,0.27,0.0,,
Treat all,0.27,0.33321828546945476,,
Baseline,0.27,0.3901461504588029,6627.0,3348.0
M1-Interactions,0.27,0.39056270306939767,6642.0,3373.0
M2-Mild,0.27,0.38970877021767847,6672.0,3486.0
M2-Balanced,0.27,0.3897385239755781,6702.0,3566.0
