Model,Hypothetical_Outcome_Prevalence,Sensitivity_From_Existing_Test_Set,Specificity_From_Existing_Test_Set,Expected_TP_per_1000,Expected_FP_per_1000,Expected_FN_per_1000,Expected_TN_per_1000,Expected_Predicted_Positive_per_1000,Scenario_PPV,Scenario_NPV
Baseline,0.05,0.800112850895754,0.7090584560464078,40.005642544787705,276.39446675591256,9.9943574552123,673.6055332440875,316.40010930070025,0.12644004021745503,0.9853798141410053
Baseline,0.1,0.800112850895754,0.7090584560464078,80.01128508957541,261.8473895582329,19.9887149104246,638.152610441767,341.85867464780836,0.23404784205638515,0.9696285370019455
Baseline,0.15,0.800112850895754,0.7090584560464078,120.0169276343631,247.30031236055333,29.983072365636897,602.6996876394466,367.31723999491646,0.3267391632258374,0.9526096264020282
Baseline,0.2,0.800112850895754,0.7090584560464078,160.02257017915082,232.75323516287375,39.9774298208492,567.2467648371263,392.77580534202457,0.40741453012821155,0.9341636414152323
Baseline,0.3,0.800112850895754,0.7090584560464078,240.0338552687262,203.65908076751452,59.96614473127379,496.3409192324855,443.6929360362407,0.5409909326325635,0.8922067530402953
Baseline,0.5,0.800112850895754,0.7090584560464078,400.056425447877,145.4707719767961,99.943574552123,354.5292280232039,545.5271974246731,0.7333391026817085,0.7800889866549104
M1-Interactions,0.05,0.8034983777683735,0.7087609698051465,40.174918888418674,276.6770786851108,9.825081111581325,673.3229213148892,316.8519975735295,0.12679395805006902,0.9856179318732051
M1-Interactions,0.1,0.8034983777683735,0.7087609698051465,80.34983777683735,262.1151271753682,19.65016222316265,637.8848728246318,342.4649649522055,0.23462206648803036,0.9701154141212653
M1-Interactions,0.15,0.8034983777683735,0.7087609698051465,120.52475666525602,247.55317566562547,29.475243334743972,602.4468243343745,368.0779323308815,0.32744358212953395,0.9533562050721458
M1-Interactions,0.2,0.8034983777683735,0.7087609698051465,160.6996755536747,232.99122415588283,39.3003244463253,567.0087758441173,393.6908997095575,0.4081874274265157,0.9351810414399205
M1-Interactions,0.3,0.8034983777683735,0.7087609698051465,241.04951333051204,203.86732113639746,58.950486669487944,496.1326788636025,444.9168344669095,0.5417855532918479,0.8937988209156494
M1-Interactions,0.5,0.8034983777683735,0.7087609698051465,401.74918888418676,145.61951509742676,98.25081111581324,354.38048490257324,547.3687039816135,0.7339644849291234,0.782934118828977
M2-Mild,0.05,0.8129496402877698,0.6940354008627101,40.647482014388494,290.66636918042536,9.352517985611508,659.3336308195745,331.3138511948139,0.12268573097020206,0.9860135909763906
M2-Mild,0.1,0.8129496402877698,0.6940354008627101,81.29496402877699,275.3681392235609,18.705035971223015,624.6318607764391,356.66310325233786,0.22793208293054382,0.9709249755986563
M2-Mild,0.15,0.8129496402877698,0.6940354008627101,121.94244604316546,260.0699092666964,28.057553956834525,589.9300907333036,382.01235530986185,0.31921073847010584,0.9545985195692662
M2-Mild,0.2,0.8129496402877698,0.6940354008627101,162.58992805755398,244.77167930983194,37.41007194244603,555.2283206901682,407.3616073673859,0.39912923829102903,0.9368753823452725
M2-Mild,0.3,0.8129496402877698,0.6940354008627101,243.88489208633092,214.17521939610293,56.11510791366905,485.82478060389707,458.06011148243385,0.5324298841412731,0.8964551067330225
M2-Mild,0.5,0.8129496402877698,0.6940354008627101,406.4748201438849,152.98229956864495,93.52517985611509,347.017700431355,559.4571197125299,0.7265522339813049,0.7877047069854209
M2-Balanced,0.05,0.8215545210890112,0.6873419604343299,41.077726054450565,297.0251375873865,8.922273945549442,652.9748624126133,338.1028636418371,0.12149475935218781,0.9865201502537979
