Model,Split,TP,TN,FP,FN,Accuracy,AUC,Recall,Specificity,FPR,Precision,F1,Kappa,MCC
GlobalPositive-Mild,OOF,23131,18040,9197,4877,0.7452439134763327,0.8214041244144081,0.8258711796629534,0.6623343246319345,0.3376656753680655,0.7155097748082158,0.7667395916202598,0.489273620642127,0.4953989192193845
RawOOFFN-Mild,OOF,22746,18387,8850,5262,0.7445560684224817,0.8208926706458086,0.8121251071122536,0.6750743473950875,0.32492565260491246,0.7199012533232054,0.76323736661969,0.4880844282808814,0.4922718869348776
GlobalPositive-Balanced,OOF,23587,17535,9702,4421,0.7443569553805774,0.8214519028949155,0.8421522422165095,0.643793369313801,0.3562066306861989,0.7085523746582956,0.7695972070411277,0.48724592300545255,0.4964566850896519
RawOOFFN-Balanced,OOF,23059,18042,9195,4949,0.7439768304823966,0.8206826907258791,0.8233004855755498,0.662407754157947,0.3375922458420531,0.7149190798040553,0.7652915601871826,0.4867526504723134,0.49263519297177705
GlobalPositive-High,OOF,23971,17134,10103,4037,0.7440492352249072,0.8216457316225072,0.8558626106826621,0.629070749348313,0.370929250651687,0.7034982684744967,0.7722367191778615,0.4864244395570487,0.4986783343977036
RawOOFFN-High,OOF,23340,17727,9510,4668,0.7433613901710562,0.8202612784453813,0.8333333333333334,0.6508426038109923,0.3491573961890076,0.7105022831050228,0.767031450261264,0.48536355018432276,0.4930383096481979
RandomTarget-Balanced-seed101,OOF,22657,18504,8733,5351,0.7450629016200561,0.8213510474094766,0.8089474435875464,0.6793699746668135,0.32063002533318646,0.7217903791016247,0.762887639314455,0.489153409446904,0.49287584177841026
RandomTarget-Balanced-seed211,OOF,22669,18495,8742,5339,0.7451172051769391,0.8212248666289828,0.8093758926021137,0.6790395417997577,0.3209604582002423,0.7216898538728471,0.7630219290126053,0.48925679433879765,0.49302701303114055
RandomTarget-Balanced-seed307,OOF,22696,18483,8754,5312,0.7453887229613539,0.8214941324754013,0.81033990288489,0.6785989646436832,0.32140103535631676,0.7216534181240064,0.7634296478186283,0.4897907986861214,0.49365332564172687
RandomTarget-Balanced-seed401,OOF,22670,18498,8739,5338,0.7451896099194497,0.8215180066406844,0.809411596686661,0.6791496860887763,0.3208503139112237,0.7217676462160527,0.7630812730363364,0.48940239847487865,0.49316924852547794
RandomTarget-Balanced-seed503,OOF,22652,18501,8736,5356,0.7449180921350348,0.8216012113019345,0.8087689231648101,0.6792598303777949,0.3207401696222051,0.7216770740410348,0.7627449659909759,0.4888637556160953,0.4925795270765818
RandomTarget-Balanced-seed601,OOF,22678,18508,8729,5330,0.7455154312607476,0.8215194407291853,0.8096972293630391,0.6795168337188383,0.32048316628116164,0.7220683287165282,0.763376251788269,0.4900558064778332,0.4938231918181485
RandomTarget-Balanced-seed701,OOF,22652,18522,8715,5356,0.7452982170332156,0.8215151902429296,0.8087689231648101,0.6800308404009252,0.3199691595990748,0.7221602320910511,0.7630147368421053,0.48963087989972376,0.4933057816962888
RandomTarget-Balanced-seed809,OOF,22678,18482,8755,5330,0.7450448004344284,0.8215232330674234,0.8096972293630391,0.678562249880677,0.32143775011932296,0.7214710654407788,0.7630423445096819,0.48910601751242455,0.4929246249475785
RandomTarget-Balanced-seed907,OOF,22642,18478,8759,5366,0.7443207530093221,0.8212016524852355,0.8084118823193374,0.6784153908286522,0.3215846091713478,0.7210598388586351,0.7622414112339881,0.4876634286681195,0.4913990229642785
RandomTarget-Balanced-seed1009,OOF,22658,18464,8773,5350,0.7443569553805774,0.8214826289620207,0.8089831476720937,0.6779013841465653,0.3220986158534347,0.7208806592217875,0.762395060482175,0.4877281924294392,0.4915315369862555
GlobalPositive-Mild,test,5872,4581,2142,1217,0.7568056762235738,0.8308748858854487,0.8283255748342503,0.6813922356091031,0.31860776439089694,0.7327177439480909,0.7775938555253923,0.5115346634976674,0.5162262423479591
RawOOFFN-Mild,test,5786,4648,2075,1303,0.7554300608166812,0.8302932895828388,0.8161941035406969,0.691358024691358,0.30864197530864196,0.7360386719246915,0.7740468227424749,0.509061131711344,0.5122958334128035
GlobalPositive-Balanced,test,5971,4450,2273,1118,0.7544888502751231,0.8306971138316266,0.8422908731838059,0.6619068868064852,0.3380931131935148,0.7242843279961184,0.7788430183264854,0.5064437935421574,0.513755342196784
RawOOFFN-Balanced,test,5854,4582,2141,1235,0.7555748624384593,0.830932440177999,0.8257864296797855,0.6815409787297337,0.31845902127026626,0.7322076297686054,0.7761866878811986,0.5090984672465728,0.5135746792814075
