Feature,Fold_Number,Case_Feature_Rows,Unique_Cases,Mean_LIME_Weight,Mean_Absolute_LIME_Weight,Positive_Weight_Rows,Negative_Weight_Rows,Dominant_Direction
Age,1,1336,1336,-0.04517346680640864,0.13750689878191974,617,719,Negative
Age,2,1329,1329,-0.024521683197358292,0.1266666789903099,687,642,Positive
Age,3,1510,1510,-0.03282609506928657,0.1397215486347621,769,741,Positive
BMI,1,925,925,-0.06856820518057442,0.16065904601703163,297,628,Negative
BMI,2,1041,1041,-0.08782831809424377,0.17096610236471205,310,731,Negative
BMI,3,1046,1046,-0.07926691386188091,0.16928969448212708,305,741,Negative
DiffWalk,1,2,2,-0.05680619164896745,0.05680619164896745,0,2,Negative
DiffWalk,3,6,6,-0.055659365363419255,0.055659365363419255,0,6,Negative
GenHlth,1,1436,1436,-0.12434577573220813,0.18839778885149955,405,1031,Negative
GenHlth,2,1325,1325,-0.1527997124416842,0.20745768433207795,257,1068,Negative
GenHlth,3,1624,1624,-0.11878428221641807,0.18703865995720922,502,1122,Negative
HeartDiseaseorAttack,1,431,431,-0.071621504921879,0.0777437110429493,17,414,Negative
HeartDiseaseorAttack,2,1397,1397,-0.08744928897585563,0.09596010856606983,62,1335,Negative
HeartDiseaseorAttack,3,805,805,-0.0728367337016669,0.08188650167078491,44,761,Negative
HighBP,1,1858,1858,-0.03498210093773205,0.14370020612728776,703,1155,Negative
HighBP,2,1849,1849,-0.02846129847692269,0.13832466584764624,733,1116,Negative
HighBP,3,1991,1991,-0.034605932456379725,0.1459028309775833,759,1232,Negative
HighChol,1,1858,1858,-0.017922025253071138,0.11995724766823734,790,1068,Negative
HighChol,2,1849,1849,-0.029259934821880242,0.1275270733383876,713,1136,Negative
HighChol,3,1991,1991,-0.027264417550172962,0.11798501222324809,767,1224,Negative
HvyAlcoholConsump,1,1304,1304,0.12726097148029167,0.14865761345745152,1210,94,Positive
HvyAlcoholConsump,2,272,272,0.11278081846576792,0.13177315096866477,252,20,Positive
HvyAlcoholConsump,3,839,839,0.12066685262138685,0.14543044397817695,768,71,Positive
Income,1,44,44,-0.02689917910707106,0.0527177902562383,10,34,Negative
Income,2,162,162,-0.011012909400961942,0.05582641938865696,58,104,Negative
Income,3,105,105,-0.016844602417989733,0.056132070824118446,35,70,Negative
Sex,1,96,96,-5.8343196054383354e-05,0.051888544257070145,48,48,Positive
Sex,2,21,21,0.006212923838355776,0.046631781646471596,12,9,Positive
Sex,3,38,38,-0.007475688339408102,0.05188967428575981,16,22,Negative
