Model,OOF_Validation_Fold,Validation_Rows,TP,TN,FP,FN,Accuracy,AUC,Recall,Precision,F1,Kappa,MCC
Baseline,1,18415,7478,6322,2757,1858,0.7493890849850665,0.8252932839448984,0.8009854327335048,0.7306301905227162,0.7641919166113127,0.49799634708175444,0.500394707575466
Baseline,2,18415,7487,6271,2808,1849,0.7471083355959816,0.8238681742276899,0.801949443016281,0.7272462360369111,0.7627731648922622,0.49338158768229223,0.49608867683770735
Baseline,3,18415,7345,6263,2816,1991,0.7389628020635352,0.814966790836184,0.7867395029991431,0.7228619230390709,0.7534492486023491,0.4771699885907632,0.4791026513977131
M1-Interactions,1,18415,7509,6304,2775,1827,0.7500950312245452,0.8266482498242363,0.804305912596401,0.7301633605600933,0.7654434250764526,0.49937320212969505,0.5020500767186511
M1-Interactions,2,18415,7483,6247,2832,1853,0.7455878360032582,0.8236035731014999,0.8015209940017138,0.725448376151236,0.7615897409801028,0.490320091420005,0.493124911636002
M1-Interactions,3,18415,7368,6246,2833,1968,0.739288623404833,0.8157463424687026,0.7892030848329049,0.7222821292030193,0.7542611455187592,0.4777908676299507,0.47991979444100374
M2-Mild,1,18415,7595,6195,2884,1741,0.7488460494162368,0.8254718731881524,0.8135175664095973,0.7247828991315965,0.766590966439566,0.49672216112268996,0.5006094163839256
M2-Mild,2,18415,7601,6156,2923,1735,0.7470540320390986,0.8234254144780563,0.8141602399314481,0.7222538958570885,0.7654582074521652,0.4930965643490448,0.4972697976723404
M2-Mild,3,18415,7474,6144,2935,1862,0.7395058376323649,0.8152296045952159,0.8005569837189375,0.7180324718993178,0.7570524183337554,0.4780611512996007,0.48135285168838404
M2-Balanced,1,18415,7649,6129,2950,1687,0.748194406733641,0.8250873178997306,0.8193016281062554,0.7216718558354561,0.7673940305994482,0.49532438813567004,0.5000714561520537
M2-Balanced,2,18415,7680,6080,2999,1656,0.7472169427097475,0.8230142197504096,0.8226221079691517,0.7191684614664294,0.7674244316762429,0.49330375745154054,0.49866076527406106
M2-Balanced,3,18415,7539,6091,2988,1797,0.7401574803149606,0.8149637823964132,0.8075192802056556,0.7161584497007695,0.7590998338619543,0.47927350987623285,0.4833505663349133
M2-High,1,18415,7705,6042,3037,1631,0.7465109964702688,0.8244433171250396,0.8252999143101971,0.7172779743064607,0.7675067237772687,0.49184007594719437,0.49770439244779413
M2-High,2,18415,7738,6018,3061,1598,0.7469997284822156,0.8230833784717276,0.828834618680377,0.7165478285026391,0.7686118698783213,0.4927758943447903,0.49914800526318737
M2-High,3,18415,7624,6038,3041,1712,0.7418951941352159,0.8144720145730238,0.81662382176521,0.7148616971401781,0.7623618819059047,0.4826474709547942,0.4877780908104659
M3-Mild,1,18415,7604,6184,2895,1732,0.7487374423024709,0.8262456969873035,0.8144815766923736,0.7242594532812648,0.7667254852533401,0.49648923433804204,0.5005137490376655
M3-Mild,2,18415,7631,6122,2957,1705,0.7468368178115666,0.8224170621526196,0.8173736075407027,0.7207215715904798,0.7660108411965468,0.49261194906489036,0.49724982703335247
M3-Mild,3,18415,7469,6139,2940,1867,0.7389628020635352,0.8148325908268025,0.8000214224507284,0.7175521183591123,0.7565459610027855,0.47697309866524507,0.4802573072441004
M3-Balanced,1,18415,7656,6115,2964,1680,0.7478142818354602,0.8250073169974346,0.8200514138817481,0.7209039548022599,0.7672880336740829,0.4945464088074514,0.4994476303329246
M3-Balanced,2,18415,7700,6047,3032,1636,0.7465109964702688,0.8229429315256458,0.824764353041988,0.717480432351845,0.7673908710384693,0.4918477960801142,0.49762743183145464
M3-Balanced,3,18415,7565,6052,3027,1771,0.7394515340754819,0.8149628798644819,0.8103041988003428,0.7142182779456193,0.759233239662786,0.47780723740577846,0.4823349875232194
M3-High,1,18415,7720,6041,3038,1616,0.7472712462666304,0.8251526541328694,0.8269065981148244,0.7176055028815765,0.7683885737035931,0.49335180462502803,0.499371559411259
M3-High,2,18415,7753,5964,3115,1583,0.7448818897637796,0.822243658043794,0.8304413024850043,0.7133787265366213,0.7674717877647991,0.4884763476080949,0.49541726832291677
M3-High,3,18415,7625,6019,3060,1711,0.7409177301113223,0.8153560003578982,0.8167309340188518,0.7136172204024334,0.7617002147744868,0.4806724366008627,0.48593988856968223
