Comparison,Comparator,Reference,Metric,Reference_Estimate,Comparator_Estimate,Difference_Comparator_Minus_Reference,CI_95_Lower,CI_95_Upper,Bootstrap_Resamples,Bootstrap_Seed,CI_Method
Jose-LightGBM vs Baseline,Jose-LightGBM,Baseline,Accuracy,0.7557920648711266,0.7542716478424558,-0.001520417028670784,-0.004126846220677607,0.001015421372719351,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs Baseline,Jose-LightGBM,Baseline,AUC,0.8309592345023108,0.8306976383877017,-0.00026159611460907506,-0.0010978845125710346,0.0005848301241828833,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs Baseline,Jose-LightGBM,Baseline,Recall,0.800112850895754,0.7979968966003668,-0.0021159542953872457,-0.0054829378732235475,0.0012656447756995732,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs Baseline,Jose-LightGBM,Baseline,Precision,0.7435762978500262,0.7424858905368159,-0.0010904073132103065,-0.0036231622535925906,0.0014088921098930228,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs Baseline,Jose-LightGBM,Baseline,F1,0.7708092681932459,0.7692412292629861,-0.0015680389302598075,-0.004027923357267519,0.000840980388559062,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs Baseline,Jose-LightGBM,Baseline,Kappa,0.5102272863462298,0.507195070252721,-0.0030322160935087883,-0.008252090824983276,0.0021400249936921775,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs Baseline,Jose-LightGBM,Baseline,MCC,0.5117971737199274,0.5087036122190746,-0.003093561500852826,-0.008313810445444464,0.002072096595923084,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-Balanced,Jose-LightGBM,M3-Balanced,Accuracy,0.7570952794671301,0.7542716478424558,-0.00282363162467425,-0.006154068925571909,0.0004344048653345256,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-Balanced,Jose-LightGBM,M3-Balanced,AUC,0.8307491812676324,0.8306976383877017,-5.154287993069939e-05,-0.0011117668418894888,0.0010380171961906167,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-Balanced,Jose-LightGBM,M3-Balanced,Recall,0.8243757934828607,0.7979968966003668,-0.026378896882493952,-0.030882792457026666,-0.021912300675573503,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-Balanced,Jose-LightGBM,M3-Balanced,Precision,0.7347246668342972,0.7424858905368159,0.007761223702518749,0.004610030300748668,0.010898236575173326,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-Balanced,Jose-LightGBM,M3-Balanced,F1,0.7769726783221432,0.7692412292629861,-0.007731449059157125,-0.010884683429937989,-0.004630532200362754,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-Balanced,Jose-LightGBM,M3-Balanced,Kappa,0.5122291186308885,0.507195070252721,-0.005034048378167455,-0.011651934476661603,0.0015203346408669718,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-Balanced,Jose-LightGBM,M3-Balanced,MCC,0.5163283486278881,0.5087036122190746,-0.007624736408813559,-0.014300126523156854,-0.0011225031687290166,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-High,Jose-LightGBM,M3-High,Accuracy,0.7550680567622358,0.7542716478424558,-0.0007964089197799451,-0.004344048653344923,0.0027512308137850328,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-High,Jose-LightGBM,M3-High,AUC,0.8299440506392167,0.8306976383877017,0.0007535877484849962,-0.000442320081380046,0.0019921744551775027,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-High,Jose-LightGBM,M3-High,Recall,0.8277613203554803,0.7979968966003668,-0.029764423755113567,-0.0347222718395732,-0.024989145153218928,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-High,Jose-LightGBM,M3-High,Precision,0.7307596513075965,0.7424858905368159,0.011726239229219448,0.008312062108354978,0.015149189284094864,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-High,Jose-LightGBM,M3-High,F1,0.7762418149348502,0.7692412292629861,-0.0070005856718641235,-0.010344197517419388,-0.003640972702335583,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-High,Jose-LightGBM,M3-High,Kappa,0.5080142532892692,0.507195070252721,-0.0008191830365481545,-0.007856900366648068,0.006205885065085704,5000,20260812,paired instance-level percentile bootstrap
Jose-LightGBM vs M3-High,Jose-LightGBM,M3-High,MCC,0.5128390512346186,0.5087036122190746,-0.004135439015544029,-0.01120176082557803,0.0029547452442669877,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs Baseline,Pang-MARS,Baseline,Accuracy,0.7557920648711266,0.7546336518969012,-0.0011584129742253646,-0.004850854329568555,0.0026788300028960377,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs Baseline,Pang-MARS,Baseline,AUC,0.8309592345023108,0.8282201285720512,-0.002739105930259611,-0.004437197602641404,-0.0010305446721459196,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs Baseline,Pang-MARS,Baseline,Recall,0.800112850895754,0.792213288192975,-0.007899562702779028,-0.013234807602663653,-0.0025430822876094192,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs Baseline,Pang-MARS,Baseline,Precision,0.7435762978500262,0.745618693574084,0.002042395724057733,-0.0015475575250985584,0.005635410107781907,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs Baseline,Pang-MARS,Baseline,F1,0.7708092681932459,0.7682101087476917,-0.002599159445554222,-0.006231177529454015,0.0010835255881791492,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs Baseline,Pang-MARS,Baseline,Kappa,0.5102272863462298,0.5080857276927929,-0.0021415586534369035,-0.00954414119358907,0.005584947907959832,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs Baseline,Pang-MARS,Baseline,MCC,0.5117971737199274,0.5091393852238123,-0.0026577884961150877,-0.010053981395772984,0.005058120887786475,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-Balanced,Pang-MARS,M3-Balanced,Accuracy,0.7570952794671301,0.7546336518969012,-0.0024616275702288304,-0.0062264697364610155,0.001520417028670673,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-Balanced,Pang-MARS,M3-Balanced,AUC,0.8307491812676324,0.8282201285720512,-0.0025290526955812354,-0.004244472063310287,-0.0008260216117679892,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-Balanced,Pang-MARS,M3-Balanced,Recall,0.8243757934828607,0.792213288192975,-0.032162505289885734,-0.03763004974952943,-0.026890005969972253,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-Balanced,Pang-MARS,M3-Balanced,Precision,0.7347246668342972,0.745618693574084,0.010894026739786788,0.00723285294085769,0.01480432556208766,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-Balanced,Pang-MARS,M3-Balanced,F1,0.7769726783221432,0.7682101087476917,-0.00876256957445154,-0.012444836987333383,-0.004999840086564724,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-Balanced,Pang-MARS,M3-Balanced,Kappa,0.5122291186308885,0.5080857276927929,-0.00414339093809557,-0.011783732632669689,0.0038070160885329777,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-Balanced,Pang-MARS,M3-Balanced,MCC,0.5163283486278881,0.5091393852238123,-0.007188963404075821,-0.014801001738600134,0.0008981207707224626,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-High,Pang-MARS,M3-High,Accuracy,0.7550680567622358,0.7546336518969012,-0.0004344048653345256,-0.00456125108601213,0.003620040544454084,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-High,Pang-MARS,M3-High,AUC,0.8299440506392167,0.8282201285720512,-0.0017239220671655398,-0.0035033491989238884,0.00012516150255777842,5000,20260812,paired instance-level percentile bootstrap
Pang-MARS vs M3-High,Pang-MARS,M3-High,Recall,0.8277613203554803,0.792213288192975,-0.03554803216250535,-0.04131909813571862,-0.030054848063782426,5000,20260812,paired instance-level percentile bootstrap
