Comparison,Model,Metric,Baseline_Estimate,Candidate_Estimate,Difference_Candidate_Minus_Baseline,CI_95_Lower,CI_95_Upper,Bootstrap_Resamples,Bootstrap_Seed,CI_Method
M1-Interactions vs Baseline,M1-Interactions,Accuracy,0.7557920648711266,0.7573848827106864,0.0015928178395597792,-0.0011584129742252536,0.0042716478424558195,5000,20260812,paired instance-level percentile bootstrap
M1-Interactions vs Baseline,M1-Interactions,AUC,0.8309592345023108,0.8317010721947156,0.0007418376924047676,-0.0002696746760877139,0.0017592751664223662,5000,20260812,paired instance-level percentile bootstrap
M1-Interactions vs Baseline,M1-Interactions,Recall,0.800112850895754,0.8034983777683735,0.0033855268726195042,-0.0004227883092596113,0.00714196448616466,5000,20260812,paired instance-level percentile bootstrap
M1-Interactions vs Baseline,M1-Interactions,Precision,0.7435762978500262,0.7441860465116279,0.0006097486616016834,-0.0021033612762960782,0.0033168118010885304,5000,20260812,paired instance-level percentile bootstrap
M1-Interactions vs Baseline,M1-Interactions,F1,0.7708092681932459,0.7727056908363291,0.0018964226430832065,-0.0006924066751875679,0.004504594131754748,5000,20260812,paired instance-level percentile bootstrap
M1-Interactions vs Baseline,M1-Interactions,Kappa,0.5102272863462298,0.5133730894505066,0.003145803104276812,-0.0023456154573058244,0.008566560467723605,5000,20260812,paired instance-level percentile bootstrap
M1-Interactions vs Baseline,M1-Interactions,MCC,0.5117971737199274,0.5151098618782503,0.003312688158322863,-0.0022141868974474258,0.008760636049632165,5000,20260812,paired instance-level percentile bootstrap
M2-Mild vs Baseline,M2-Mild,Accuracy,0.7557920648711266,0.7550680567622358,-0.000724008108890839,-0.0031856356791195584,0.0017376194613379914,5000,20260812,paired instance-level percentile bootstrap
M2-Mild vs Baseline,M2-Mild,AUC,0.8309592345023108,0.8302153405500918,-0.0007438939522189658,-0.0014273027009994305,-4.099248934680006e-05,5000,20260812,paired instance-level percentile bootstrap
M2-Mild vs Baseline,M2-Mild,Recall,0.800112850895754,0.8129496402877698,0.012836789392015824,0.009364225893202635,0.016351912640188777,5000,20260812,paired instance-level percentile bootstrap
M2-Mild vs Baseline,M2-Mild,Precision,0.7435762978500262,0.7369565217391304,-0.006619776110895814,-0.0090638114748253,-0.004241472184390452,5000,20260812,paired instance-level percentile bootstrap
M2-Mild vs Baseline,M2-Mild,F1,0.7708092681932459,0.7730900798175598,0.0022808116243139276,-5.238279810431401e-05,0.0046482115170918305,5000,20260812,paired instance-level percentile bootstrap
M2-Mild vs Baseline,M2-Mild,Kappa,0.5102272863462298,0.5084120814616568,-0.0018152048845729851,-0.006714396030592382,0.003086471287489277,5000,20260812,paired instance-level percentile bootstrap
M2-Mild vs Baseline,M2-Mild,MCC,0.5117971737199274,0.5113048477756853,-0.0004923259442420891,-0.005352375674142189,0.004452584580857804,5000,20260812,paired instance-level percentile bootstrap
M2-Balanced vs Baseline,M2-Balanced,Accuracy,0.7557920648711266,0.756226469736461,0.0004344048653344146,-0.002316825948450618,0.0031856356791195584,5000,20260812,paired instance-level percentile bootstrap
M2-Balanced vs Baseline,M2-Balanced,AUC,0.8309592345023108,0.8302356618524379,-0.0007235726498728834,-0.0014480260551922002,1.300359953961253e-05,5000,20260812,paired instance-level percentile bootstrap
M2-Balanced vs Baseline,M2-Balanced,Recall,0.800112850895754,0.8215545210890112,0.021441670193257156,0.017702723206465838,0.02542616448851791,5000,20260812,paired instance-level percentile bootstrap
M2-Balanced vs Baseline,M2-Balanced,Precision,0.7435762978500262,0.7347968710572799,-0.008779426792746348,-0.011404064391041576,-0.006161971104279303,5000,20260812,paired instance-level percentile bootstrap
M2-Balanced vs Baseline,M2-Balanced,F1,0.7708092681932459,0.7757575757575758,0.004948307564329846,0.0023217553136173547,0.007678429406467788,5000,20260812,paired instance-level percentile bootstrap
M2-Balanced vs Baseline,M2-Balanced,Kappa,0.5102272863462298,0.5105372825630082,0.0003099962167784076,-0.005179068706196413,0.0058320214404586875,5000,20260812,paired instance-level percentile bootstrap
M2-Balanced vs Baseline,M2-Balanced,MCC,0.5117971737199274,0.5143589832000796,0.0025618094801521663,-0.002902412601191637,0.008191520658958479,5000,20260812,paired instance-level percentile bootstrap
M2-High vs Baseline,M2-High,Accuracy,0.7557920648711266,0.7541268462206777,-0.0016652186504488853,-0.0047060527077903425,0.001448016217781678,5000,20260812,paired instance-level percentile bootstrap
